Méta-thème,Thème,Code,Extrait
Ambivalence face à l'IA,Ambivalence face à l'IA,Ambivalence productive,"je sens aussi que ça me laisse plus de temps d'approfondir d'autres aspects de mon travail, donc d'un côté je trouve que c'est aussi plus un gain de temps qui permet de te concentrer vraiment sur l'analyse pure ou sur des raisonnements. Mais c'est vrai que ça me rend un peu paresseux."
Ambivalence face à l'IA,Ambivalence face à l'IA,Ambivalence technologique,"j'ai quand même toujours un peu cette peur de qu’ils trouvent un outil, comme le plagiat, qui te permettent de détecter quand tu utilises ChatGPT. C'est pour ça que j'essaye de réécrire, je me dis que c'est un peu trop facile quand même."
Ambivalence face à l'IA,Ambivalence face à l'IA,Normalisation de la technologie,"Je pense que le développement de l'intelligence artificielle, surtout ChatGPT, c'est comme... Pour moi c'est similaire à l'arrivée d'internet. Franchement, on se rend pas compte. Je trouve qu'on s'habitue très vite aussi. Au tout début, c'était il y a deux ans. Il y a que deux ans finalement. Genre, c'est une dinguerie, tu peux lui demander, il te fait un programme de sport et tu lui donnes tes objectifs. Maintenant, pour moi, ChatGPT c'est basique…"
Complémentarité homme-machine,Complémentarité homme-machine,Complémentarité cognitive,"Je lui demande en mode « Ben je remarquais que des organisations, elles parlent de ci, ça et ça, et elles le font de telle et telle manière. Qu’est-ce que ça te dit ? Comment tu définiras cette manière de faire ? » Et après il me propose des définitions qui sont juste et puis finalement qui viennent de moi-même en fait et qui permettent de résumer certaines idées en un concept."
Complémentarité homme-machine,Complémentarité homme-machine,Complémentarité technologique,"je lui demande en mode « Ben je remarquais que des organisations, elles parlent de ci, ça et ça, et elles le font de telle et telle manière. Qu’est-ce que ça te dit ? Comment tu définiras cette manière de faire ? » Et après il me propose des définitions qui sont juste et puis finalement qui viennent de moi-même en fait et qui permettent de résumer certaines idées en un concept. Je voyais que j'avais deux types d'organisation et je voyais qu'elles étaient différentes, mais je n'arrivais pas à les formuler. Du coup, il m'aide aussi à faire des typologies."
Complémentarité homme-machine,Complémentarité homme-machine,Complémentarité cognitive,"le raisonnement que je vais présenter dans un travail, je vais plutôt le faire moi-même et j'ai plutôt utilisé ChatGpt pour m'aider pour des choses externes, comme des biographies, des lectures, tout ça. Parce que je trouve que le raisonnement il n'est pas assez fort."
Dépendance à l'IA,Dépendance à l'IA,Adaptation à l'outil numérique,je pense que j'essaie de lui donner le plus d'informations possible quand je lui pose une question. Comme ça il a tous les éléments importants avant de répondre. Je pense que j'essaie de lui donner le plus d'informations possible quand je lui pose une question. Comme ça il a tous les éléments importants avant de répondre. Je suis sûre qu'il y a une réponse qui est précise.
Dépendance à l'IA,Dépendance à l'IA,Dépendance aux outils numériques,"je me rends compte que je me repose beaucoup sur ChatGPT, pour euh ben… vraiment pour l'écriture. Je me rends compte que j'ai perdu l'habitude d'écrire un truc de A à Z toute seule, sans passer par ChatGPT qui me reformule mieux. Je me dis que c'est un peu trop facile quand même."
Dépendance à l'IA,Dépendance à l'IA,Dépendance aux outils numériques,"je me dis bon, c'est pas grave. Parce que de toute façon, je demanderais ChatGPT, et puis c'est bon, tu vois. Du coup, moi, j'ai ce sentiment aussi que des fois, je suis en cours et je comprends rien. Puis je me dis bon, c'est pas grave. Parce que de toute façon, je demanderais ChatGPT."
Tensions autour de l'IA,Tensions autour de l'IA,Ressentiment de la paresse,"je sens que ça me rend un peu paresseux, parce que je me dis que je peux faire plus rapidement et que je n'ai pas besoin de me fatiguer autant."
Tensions autour de l'IA,Tensions autour de l'IA,Soutien moral,"c'est un peu, des fois, comme un soutien moral. Parce que je me dis, je ne suis pas toute seule dans mon travail. Parce qu'en plus, c'est Julie qui m'a dit qu'elle a aussi la version payante."
Tensions autour de l'IA,Tensions autour de l'IA,Interaction Homme-Machine,je lui parle en mode normal. Laura Bütikofer Enjeux sociaux et politiques de l’IA Automne 2024 Retranscription entretien 11 Et tu le vouzoies ? Non je tutoie quand même. Je lui parle en mode normal. Laura Bütikofer Enjeux sociaux et politiques de l’IA Automne 2024 Retranscription entretien 11
Tensions autour de l'IA,Tensions autour de l'IA,Questionnement sur la légitimité académique,"C'est vrai que par moment je me dis, mais dans quelle mesure est-ce qu'ils peuvent détecter que j'utilise des ChatGPT ? Parce que j'avais entendu une histoire d'une université en Amérique du Sud qui avait pénalisé des étudiants parce qu'ils avaient utilisé ChatGPT, mais en fait, je me rends compte aussi que les technologies qu'ils utilisent pour détecter le ChatGPT, c'est basé sur la même technologie qu'utilise ChatGPT donc en fait, on n'est pas sûr à 100%. Mais oui, j'ai quand même toujours un peu cette peur de qu'ils trouvent un outil, comme le plagiat, qui te permettent de détecter quand tu utilises ChatGPT."
Tensions autour de l'IA,Tensions autour de l'IA,Authenticité académique,"Le travail que je produis, c'est mon travail avant tout. Peut-être que j'utilise ChatGPT pour reformuler, mais c'est ma réflexion, c'est mon processus. Mais c'est vrai que par moments, je me dis que j'ai perdu certaines compétences."
Tensions autour de l'IA,Tensions autour de l'IA,Facilitation du travail,"D'un côté, pour l'université, c'est clair que ça facilite le travail, mais d'un autre côté, on a aussi accès à un savoir illimité. Et ce que je trouve utile, c'est quand tu poses une question précise, tu vas avoir une réponse adaptée. Parce que des fois, sur les forums, quand t'as une question toute bête, genre comment fonctionnent les primes d'assurance maladie ou des choses comme ça. Je trouve qu'avant, tu pouvais chercher sur internet, mais tu devais quand même faire 2-3 sites avant de trouver ta question et la réponse. Alors que maintenant avec ChatGPT, t'as tout d'un coup et t'as une réponse adaptée à la question."
Tensions autour de l'IA,Tensions autour de l'IA,Exigence accrue,"ça rend le truc plus exigeant parce qu'on a accès à un contenu de qualité relativement vite, je pense qu'il y a des standards plus élevés, parce que tu te dis que tu as plus de temps pour peaufiner certains aspects."
Tensions autour de l'IA,Tensions autour de l'IA,Légitimité du travail,"j'ai l'impression qu'inconsciemment dans ma tête c'est un peu de la triche. C'est comme une aide un peu folle, tu vois. Alors que c'est bizarre, mais quand ma mère me reformulait tous mes paragraphes et qu'elle me réalisait tout, bah j'avais pas du tout ce sentiment-là. C'est un humain. Alors techniquement, c'est le même type d'aide dont j'ai bénéficié, quoi."
Tensions autour de l'IA,Tensions autour de l'IA,Sentiment de plagiat,"j'ai l'impression qu'inconsciemment dans ma tête c'est un peu de la triche. C'est comme une aide un peu folle, tu vois. On ne sait pas encore qui utilise, qui n'utilise pas, ce n'est pas autorisé, il n'y a pas encore eu de communication officielle de l'Uni. J'ai l'impression qu'il n'y a pas beaucoup de profs qui utilisent ChatGPT, mais peut-être que je me trompe."
Tensions autour de l'IA,Tensions autour de l'IA,Anxiété normative,"des fois ça me brise le cœur de me dire, « bon ce mot est trop beau, il faut que je le mette quelque chose de plus humain, quoi. » Ça montre une tension entre l'usage de l'IA et la perception de l'authenticité du travail. Je me sens comme si je devais cacher mon usage de l'IA pour ne pas être jugé."
Transformation des pratiques académiques,Transformation des pratiques académiques,Transformation des pratiques académiques,"je sens qu'en fait, ça va beaucoup plus vite avec ChatGPT, parce que... Ce qui prend beaucoup de temps, en fait, quand on rédige, c'est plus de formuler ses idées, en fait. Et puis, une fois qu'on a un outil qui nous permet de reformuler nos phrases très rapidement et de manière assez précise, on se rend compte qu'on gagne beaucoup plus de temps. Et puis là, je sens aussi que... Pour avoir fait mon travail de bachelors sans ChatGPT et fait en mémoire avec, je sens qu'en fait, ça va beaucoup plus vite avec ChatGPT, parce que..."
Transformation des pratiques académiques,Transformation des pratiques académiques,Réorganisation du travail,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines, et maintenant avec ChatGpt, je peux me concentrer sur l'analyse pure ou sur des raisonnements."
Transformation des pratiques académiques,Transformation des pratiques académiques,Réduction du stress et gain de temps,"je pense qu'inconsciemment ou consciemment, je me dis que j'ai ChatGPT qui peut m'aider. C'est vrai que dans des moments de stress, je me dis bon au moins cette année, à ce moment-là, j'ai de ChatGPT qui m'aide quoi. Je pense que ça donne un avantage pour rendre les choses à temps, pour respecter les deadlines, je pense."
Transformation des pratiques académiques,Transformation des pratiques académiques,Transformation des standards,"Je pense que ça va amener une nouvelle manière de travailler. Les exigences vont changer, ils vont s'arranger pour avoir des objectifs... Pour moi, on ne peut plus demander à des étudiants d'écrire une dissertation en allemand et de la rendre le lendemain. C'est clair qu'ils vont utiliser ChatGPT et un traducteur. Là, ça n'aurait plus de sens. Il faudrait adapter les cours et les objectifs à l'utilisation de ChatGPT."
Transformation des pratiques académiques,Transformation des pratiques académiques,Réorganisation du temps,"je me rends compte que vu que j'ai besoin de moins de temps qu'avant pour faire certaines tâches, ben ça me laisse plus de temps à côté pour faire d'autres choses. Donc ouais, je sens que... Ouais, juste ça me... Ouais ben, pas que je procrastine, mais je sais que je peux organiser mon calendrier différemment."
Transformation des pratiques académiques,Transformation des pratiques académiques,Adaptation des critères d'évaluation,"Si on commence à mettre ChatGPT dans nos sources, je pense que les enseignants vont juste adapter leurs critères d'évaluation. Faire plus d'examens, par exemple."
Transformation des pratiques académiques,Transformation des pratiques académiques,Réorganisation du travail académique,"tu gagnes du temps à peut-être te concentrer, à réfléchir, à approfondir ton analyse parce que tu sais que tu vas pas te faire chier. Et je pense que si t'as une thématique en cours qui t'intéresse, tu vas automatiquement faire le travail par toi-même. Et puis finalement ce que c'est ça, c'est que tu gagnes du temps à peut-être te concentrer, à réfléchir, à approfondir ton analyse."
Transformation des pratiques académiques,Transformation des pratiques académiques,Adaptation des pratiques pédagogiques,"il faudra adapter les critères d'évaluation, la manière d'évaluer... en prenant en compte le fait que ChatGPT existe. Je pense que c'est comme quand Internet s'est développé. Je me souviens, ma mère, elle enseigne depuis bientôt 15 ans. Au début, vu que pas tout le monde utilisait Internet, genre en 2007, 2008, les gens utilisaient, mais pas tous les adultes, en tout cas. Et puis, du coup, elle a été surprise de voir que certains élèves avaient juste copié-collé une partie d'un site Internet et puis que ma mère avait fait une simple recherche sur Internet et avait retrouvé le même texte mot pour mot."
Un rapport nuancé à l'IA,Un rapport nuancé à l'IA,Vérification critique des sources,"Mais après moi, si je veux utiliser ces sources, je vais quand même les lire moi-même. Mais des fois, il arrive que je reprenne certaines formulations de ChatGPT, enfin, certaines structures un peu, mais que j'aille voir les sources et puis que je vois pour humaniser un peu le texte quand même."
Un rapport nuancé à l'IA,Un rapport nuancé à l'IA,Évaluation de la pertinence des informations,"Je lui demande en mode « Ben je remarquais que des organisations, elles parlent de ci, ça et ça, et elles le font de telle et telle manière. Qu’est-ce que ça te dit ? Comment tu définiras cette manière de faire ? » Et après il me propose des définitions qui sont juste et puis finalement qui viennent de moi-même en fait et qui permettent de résumer certaines idées en un concept."
Un rapport nuancé à l'IA,Un rapport nuancé à l'IA,Validation technologique,"quand je lui ai envoyé ma méthodologie, il écrit au-dessus « Votre méthodologie est déjà très bien écrite et complète. » Et t'étais là genre, ouais. « Merci. » Ça illustre comment les étudiants cherchent et trouvent une validation à travers les réponses de l'IA. Je me sens comme si l'IA me donnait une validation de mon travail."
Un usage ciblé de l'IA,Un usage ciblé de l'IA,Usage ciblé et délimité,"J'utilise principalement pour les études, beaucoup pour écrire mon mémoire en ce moment. Surtout là, j'utilise vraiment tous les jours assez intensément, soit pour des tâches … soit je l'utilise quand j'ai besoin de conseils sur par exemple la structure de mon travail, etc."
Un usage ciblé de l'IA,Un usage ciblé de l'IA,Usage ciblé et délimité,"j'ai plutôt utilisé ChatGpt pour m'aider pour des choses externes, comme des biographies, des lectures, tout ça. Parce que je trouve que le raisonnement il n'est pas assez fort."
Un usage ciblé de l'IA,Un usage ciblé de l'IA,Usage ciblé et délimité,"Je vais utiliser ChatGPT pour des tâches spécifiques. Genre des biographies, des lectures, tout ça. Parce que je trouve que le raisonnement il n'est pas assez fort. Je vais lui demander de me donner des articles qui parlent là-dessus, puis il va me faire un petit résumé. Si je veux qu'il approfondisse un résumé d'un article en particulier, je lui demande."
Un usage ciblé de l'IA,Un usage ciblé de l'IA,Usage ciblé et délimité,"utilisé ChatGpt pour m'aider pour des choses externes. Genre des biographies, des lectures, tout ça. Parce que je trouve que le raisonnement il n'est pas assez fort. Je vais utiliser l'IA pour des tâches spécifiques où je ne suis pas compétent."
Usages stratégiques de l'IA,Usages stratégiques de l'IA,Usage stratégique de l'IA,"J'utilise principalement pour les études, beaucoup pour écrire mon mémoire en ce moment. Surtout là, j'utilise vraiment tous les jours assez intensément, soit pour des tâches … soit je l'utilise quand j'ai besoin de conseils sur par exemple la structure de mon travail, etc."
Usages stratégiques de l'IA,Usages stratégiques de l'IA,Usage stratégique de l'IA,"Oui, si je sais que je ne vais pas avoir le temps de faire certaines lectures, je l'utilise dans ce cadre-là. Je lis un peu le début du texte pour avoir une idée, je lui demande de faire un résumé, et à partir du résumé j'essaye de faire mon commentaire. Ce qui fait que c'était pas... Mieux vaut quand même toujours lire, parce que mes commentaires étaient un peu éclatés, mais... Mais ça, c'était le temps, surtout. Ouais, c'était plus... Ouais, exactement, pour gagner du temps."
Usages stratégiques de l'IA,Usages stratégiques de l'IA,Personnification de l'IA,"des fois, genre ouais il dit « courage ça va le faire » comme un pote « il dit ce mémoire on va le boucler ensemble on est une team » t'sais que ça m'a fait du bien au premier degré alors que c'est une technologie quoi, c'est un peu, des fois, comme un soutien moral. Parce que je me dis, je ne suis pas toute seule dans mon travail. Parce qu'en plus, c'est Julie qui m'a dit qu'elle a aussi la version payante."
Usages stratégiques de l'IA,Usages stratégiques de l'IA,Usage instrumental de l'IA,"Pour faire des brainstormings ? Pas trop, mais je sais que tu peux l'utiliser, en vrai, pour faire ça aussi. Mais pas trop, quoi. Mais des fois, une ou deux fois, je lui pose des questions un peu en mode... un peu existentielle, des choses comme ça. Puis des fois, il donne des conseils. Après, c'est des conseils très basiques, quoi, que tu pourrais retrouver sur des forums ou sur Internet."
Usages stratégiques de l'IA,Usages stratégiques de l'IA,Limites de l'IA et esprit critique,"Il y a des choses qu'il faut savoir... il va toujours essayer de faire des comparaisons, mais sur des mini-éléments, des choses qui... Par exemple, un truc qui ne marche pas très bien, c'est si tu lui mets des images de graphique et tu demandes, compare ces deux graphiques. Il n'y arrive pas. Donc il y a des choses qu'il faut savoir. Il ne va jamais te dire erreur. Il va te dire oui, bien sûr, puis te faire un truc qui est éclaté."
Usages stratégiques de l'IA,Usages stratégiques de l'IA,Usage stratégique de l'IA,"Moi je pense que c'est vrai que, comme tu dis, si j'ai un cours qui me... comment dire... ben typique un peu le cours qu'on a eu, où le cours est mal conçu, où t'as pas d'intérêt, tu te sens pas un peu respecté en tant qu'étudiant, ben c'est clair que j'aurai moins de mal à utiliser ChatGPT. Je vais utiliser l'IA pour contourner les difficultés du cours et me sentir plus à l'aise."
Évolution des pratiques,Évolution des pratiques,Évolution des pratiques d'aide,"j'ai eu la chance que ma mère elle est prof de français, donc en fait c'est elle qui me relisait mes trucs, qui m'a reformulé mes trucs à la fin. Donc d'une certaine manière, je me dis juste que là je le fais tout le long… puis que justement j'ai un autre correcteur en fait."
Évolution des pratiques,Évolution des pratiques,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines, au bout d'un moment t'as envie de le donner, même si c'est pas parfait, les mots utilisés sont pas parfaits, etc. Et là, vu qu'on a accès à un contenu de qualité relativement vite, je pense qu'il y a des standards où je me dis que ce n'est pas exactement ce que je veux."
Évolution des pratiques,Évolution des pratiques,Évolution des standards,"ça change les standards. Avant, on devait tout faire nous-mêmes, du coup au bout d'un moment t'as fait un travail pendant 3 semaines. Maintenant, avec l'IA, je peux faire des choses plus rapidement et avec moins d'effort. Les standards sont plus élevés et plus exigeants."
